Nome,Età,Nazionalità,Tiri,Goal,Assist,Fuorigioco,Palle recuperate,Tackle vinti,Partite Giocate,Minuti,Squadra,Lega,Ruolo
Abdoulaye Bamba,32.0,CIV,0.2,0.0,0.0,0.0,5.88,0.0,10,458,Angers,Ligue 1,DF
Jonathan Bamba,26.0,FRA,1.89,0.04,0.07,0.52,6.63,0.7,31,2428,Lille,Ligue 1,FW
Patrick Bamford,28.0,ENG,3.23,0.32,0.32,0.81,3.06,0.32,9,559,Leeds United,Premier League,FW
Filippo Bandinelli,27.0,ITA,1.84,0.09,0.14,0.23,8.2,1.2,35,1955,Empoli,Serie A,MF
Mattia Bani,28.0,ITA,0.67,0.0,0.0,0.0,11.0,0.81,17,1211,Genoa,Serie A,DF
Simon Banza,25.0,FRA,4.29,0.71,0.71,0.0,4.29,1.43,4,124,Lens,Ligue 1,FW
Shandon Baptiste,24.0,GRN,1.19,0.1,0.1,0.1,8.12,0.4,22,910,Brentford,Premier League,MF
AntonÃ­n BarÃ¡k,27.0,CZE,1.85,0.42,0.15,0.12,7.23,0.65,29,2340,Hellas Verona,Serie A,FW
Barbero,23.0,ESP,0.0,0.0,0.0,0.0,15.0,5.0,6,21,Osasuna,La Liga,FW
Danilo Barbosa,26.0,BRA,0.0,0.0,0.0,0.0,7.0,0.0,1,90,Nice,Ligue 1,DF
Barcia,21.0,ESP,0.0,0.0,0.0,0.0,13.8,0.0,1,75,Granada,La Liga,DF
Bradley Barcola,19.0,FRA,1.72,0.0,0.34,0.34,7.93,1.72,11,263,Lyon,Ligue 1,FW
Melvin Bard,21.0,FRA,0.17,0.07,0.07,0.03,9.31,1.6,33,2589,Nice,Ligue 1,DF
Enis Bardhi,26.0,MKD,2.17,0.16,0.16,0.21,6.77,0.79,30,1701,Levante,La Liga,FW
Keidi Bare,24.0,ALB,0.3,0.06,0.06,0.0,9.94,1.21,25,1481,Espanyol,La Liga,MF
NicolÃ² Barella,25.0,ITA,2.1,0.09,0.34,0.12,9.51,1.02,36,2913,Inter,Serie A,MF
Kike Barja,25.0,ESP,1.77,0.21,0.0,0.0,7.19,0.73,21,865,Osasuna,La Liga,FW
Ross Barkley,28.0,ENG,4.5,0.5,0.0,0.0,6.0,0.5,6,179,Chelsea,Premier League,MF
Aymen Barkok,24.0,MAR,1.11,0.0,0.0,0.0,11.7,1.67,5,160,Eint Frankfurt,Bundesliga,FW
Ashley Barnes,32.0,ENG,1.67,0.11,0.0,1.0,5.11,1.11,23,808,Burnley,Premier League,FW
Harvey Barnes,24.0,ENG,2.88,0.26,0.43,0.43,5.62,0.56,32,2101,Leicester City,Premier League,FW
Antonio BarragÃ¡n,34.0,ESP,0.09,0.0,0.0,0.0,5.75,0.88,16,1020,Elche,La Liga,DF
Leandro Barreiro Martins,22.0,LUX,1.61,0.05,0.1,0.0,8.69,1.76,31,1789,Mainz 05,Bundesliga,MF
Ander Barrenetxea,20.0,ESP,1.31,0.16,0.16,0.16,5.9,2.46,11,547,Real Sociedad,La Liga,FW
Jacob Barrett Laursen,27.0,DEN,0.44,0.11,0.0,0.06,9.45,0.88,24,1632,Arminia,Bundesliga,DF
Musa Barrow,23.0,GAM,3.04,0.25,0.25,0.25,4.94,0.51,34,2134,Bologna,Serie A,FW
Abdourahmane Barry,22.0,FRA,0.43,0.0,0.0,0.0,12.2,1.3,8,210,Greuther FÃ¼rth,Bundesliga,DF
Marc Bartra,31.0,ESP,0.68,0.05,0.0,0.0,9.32,0.9,23,1993,Betis,La Liga,DF
Daniele Baselli,30.0,ITA,0.59,0.0,0.0,0.59,14.1,0.0,6,150,Torino,Serie A,FW
Daniele Baselli,30.0,ITA,1.56,0.0,0.31,0.0,10.3,0.94,9,290,Cagliari,Serie A,MF
Toma BaÂi?,25.0,CRO,1.47,0.0,0.18,0.0,6.51,0.73,29,982,Lazio,Serie A,MF
Toma BaÂi?,25.0,CRO,0.87,0.0,0.43,0.0,5.65,1.3,3,209,Bordeaux,Ligue 1,MF
